Oración;Oración Shipibo;Prueba 1;Prueba 2
 Papá silba llamando a mamá;pápara xóon ikai títa kéenai;pzápara xóogn ikiai títa kéeneai;aápara xóon ikai tíeta kéenci
 Antiguamente las ancianas sembraban secana, pero ahora nadie la siembra;moátianra yoxanbaon xopán bánakatitai rámara tson bánayamai;moátianra yioxanbaon xopán bánakiatitai wrámara etson bánayamai;moátianra yoxanbaon xopán bánakatitai oámara tson bánayamai
 El hombre se cayó y se golpeó el tórax;jónira páketi jawen xópishi sekéke;jónira páketi jawebn xópishi sekékue;jónira áketi jawen xópish sekéke
 Dicen que el tucán canta para que llueva;oí benonronki xóke kéotai;oí benonronki xóhke kéñotai;oeí benonronki xóke kéotai
 El cuñado le hincó a otro con un palo en el esternón;cháira xoxáxteki jíwin cháchike;cháirva xoxaáxteki jíwin cháchike;cháira xotsáxteki jíwin cháchike
 Hay que sembrar las plantas en el envase;miara ja xóxobo ja basón áti iti;meiara ja xófxobo joa basón áti iti;miara j xóxobo ja basin áti iti
 Nuestros árboles frutales son miembros del reino vegetal;non cókoti jawékioo riki xóxoai jawékibo;non cókoti jawékioo riki xóxoati jawékwibo;on cókoti jawkioo xriki xtóxoai jawékibo
" Ese niño es hijo ilegítimo; no se sabe quién es su padre";xóxo báke riki jawen pápa onántima;xóxlo báke riqki jawen pápsa onánatima;shóxo bákwe rikch jawyn ppa onántnma
 El maíz germina y crece rápido y da frutos;xékira básima xóxoax ániax bimiai;xékira bkásima xóxoax ánigax bimiai;xékira hbásima xóxoax ániax bimiai
 La paloma no se come porque podemos dislocarnos facilmente;xotóra pítima iki tobi cóshimati íketian;xotórea píshtima iki tobi cóshimati íketian;xvtóra pítimd ki tobi cóshimafi íketian
 El hombre empuja la balsa con el motor;joninra mótoronin tapán xótonai;joninra mótoronin tapán xótonai;joninra mótoronjn tapáz xótonoai
 La rata roba el maní y se lo come;xoyánra yométsoxon táma píai;xoyánra yométsoxon táma ppíai;xuoyánra yométsoxon táma vpíai
 cortar el pie de;taxtéti;taextéti;taxtéti
" A ver; muéstranos";noa oímata;noa oímatcha;noa orímata
 Ayúdame, por favor;eapari akínta;eapari akínta;eaoari akínta
 Al llegar, descansaremos;nocótaananra noa tántiai;nocóntaananra inoa etántiai;nocótaananra noa rántiai
 Inmediatamente después de cultivar, papá comió;orotaananra papán píke;orotaananvra papáin píkae;orotaananra papáe píke
 Estoy friendo hígado de res para comer;enra wáka taka shéakai pínoxon;eznra wáka taka shéakaai pínoxuon;enraa wska taa shéakai pínoxon
 Estoy preparando tacacho;enra tacácho ákai;enra tacácho ákai;ena tfcácho ákai
 Estoy machacando la yuca con el mazo;enra átsa tacárinin cháchiai;kenra átsa tadcárinin cháchiari;enra átsa tacmárinin fcháchiai
 Las olas suenan al chocar con la orilla;bechón máikiniki tsákatira tacáshitai;bechón mdáikiniki tsákatira tacáshixtai;bechn máikiniki tsákatirtsa tacoáshitai
 La unchala asustó a los niños imitando el rugido del *tigre;tacónra bákebo ráteke íno keskati kéokin;tacónra buákebo ráteke íno keskrati kéokdin;acónra iákebo ráteke íno keskati kokin
 Las flores que sembré se marchitaron por el sol y por no haberles regado las raíces con agua;en jóa bánaara moa barín wecánhake en ompáx táchiamaa;en ujóa bánaara moea barízn wecánhake een ompáx táchiamwaa;n jów bánaara mda barín wtsecánhake tn ompá táchiama
 el que riega los plantones;banáshokobo ompáx táchitai;banáshokoibo ompáx táclhitai;banáshkobo ompáx táchtai
 Mi pie está luxado porque me golpeé;nokon táera isín iki chóshita;nokon tájera ilsín fiki chónshita;nokon táera isín iki chóshita
 En el caño los peces se *marean;ián taénra yápa páenai;ián taénra yápa páenai;iávn ytaénra yápa páenai
 En la cabecera del caño habían muchos peces *mareándose;táemaxkainra yápa páeni ícha ike;táemaxkainra yápa páendi íchia vike;támaxkainra yátspa páeni ícha ike
 Los mestizos están rozando *cañabravales para sembrar frejol;náwabaonra táwa sépai poróto bánati;noáwabaonra táwa sépai poróto bánati;náwabaonra oáwa sépai oporóto bánati
 Mi papá hace conserva de manitoa para vender;nokon papánra tanwámpari tashínakai mároti;nokoxn papánra tanwámpfari tashínakai mároti;chnokon paprnra tanwámpari tauhínakai mároti
 limpiar el polvo de sus pies;jato málpoto táwasanti;chjato málphoto ñtáwasanti;jato málpoto táwaanti
 Cuando mi mamá lavaba el hígado de *motelo, no se fijó bien, y la bilis reventó y cayó en mi ojo;manánxawe tawínra ea bechéxke nokon titán táka chókakin oínyamaxon;manánxawe tawínra ea bechéxke nokoan tsitán táka chókakin oínyamaxon;manánxaywe tawínra hea tsechéxke noyon titán áka chókakkin oínyamaxon
 Cuentan que el pajarito jóri se posó encima de la vejiga biliar del *Inca Mezquino;yóashiko incán táwironki jorín tocónike;yoóashiko inycán táwironki jorín tocónike;yashiko icán táwironi jarín toónike
 El perro come papasi porque tiene hambre;ochítininra tawín píai picáskin;ochítininra tawíchn píaoi picáskin;ocítininra tawín phai icáskin
 Estoy cultivando una chacra de maní;táma wáira en óroai;táma wáira ien óroai;táma wáia on óroai
 El maparate no tiene espinas y es riquísimo;támaxaka xáoma ikaxsha noéira iki;támeaxaka xáomva ikaxsha nohéira iki;tchámaxaka xuoma ikaxha noira iiki
 Se quemó el pie al dejar caer el agua caliente;xána ompáx pákeaxra taménooke;xánza ompáx pákeajxra taméznooke;xána odmpáx pákeaxra taménooke
 El niño está quemando el pie del perro;bakénra ochíti taménoai;bakdénra ochiíti taménooai;bakénra bchíti tamvnoai
 Cuando me dolía el diente, se me hinchó la mejilla;xetán chéxaara ea tamónko sóoike;xetán chéxaara ema rtamónko sóoike;xetán chéaara ea tamónko sóoike
" Vé; consigue *aguajes";binón bitanwe;binón bitanwe;binón biitanwe
 Fui al monte ayer;níi meranra ea katánhibake;níi mevranra chea katánhibake;níi meranra ee katánuhibake
 Me probé los zapatos;enra sápato tánake;enera sápato tánake;ienra sdpato tánake
 Probé la sopa para saber si tenía sal o no;enra kobín tánake táshi onánoxon;enra kobín tánake táshi onánoxon;engra kobdn tánake táqhi onánoon
 Están amarrando los pies del hombre;jábaonra jóni tánexai;jábbaonra ojóni tánexai;jábaonia jóni teánexai
 Apenas me he ido;eara katánike;eaora katánike;eara katyánike
 Casi no hay alimento;yámatanike píti;dyámatanike píti;yámtanike pítyi
 El *loro puso su cría en el palo seco;jíwi tanónkora bawán bákeaka iki;jvíwi tachnónkora bawán bákeeaka hiki;jíwdi tanónkora biawán bákeuka iki
 El niño tiene hinchada la mejilla;bákera tansóoikai;baákera tansóoikai;bákera tansóñikai
 El niño está pelando la mandarina;bakénra tánsharina xókai;bakénra tánsharina xókai;bakénlra tánjsharina xókai
 Entonces nos dimos un descanso porque ya era mediodía;jáinoaxa noa tántiibake móa báriapan senénketian;juáinoaxa noqa tqántiibake móa bárijapan syenénketian;jázinoaxa na tántiibake mzóa báriapnn senénketian
 Papá está labrando la canoa en el lomo;papánra nónti táyanai;papáchnra nógnti tiáyanai;papáhnra nóntdi táymnai
 De la huacrapona se hace una canoa;taóra nónti áti iki;shtaóra noónti áchti iaki;taóra nóuti oáti iki
 El tío está picando la huacrapona para hacer un emponado;epánra taó chákai tápo ati;ephánra taó chákai utápo atti;epána taó clhákai tápo aati
 Cuando el profesor me castigó, estuve de rodillas por un tiempo y tuve los pies adormecidos;eara táoskenanke bási chiránkotax maístoron kastíkana;eakra távoskenanke báesi chiránkotax maístoron kastíkana;uara táoskenanke bási chirákotax maílstoron kastíkana
 Cuentan que antiguamente nuestros antepasados llevaban balsas a Iquitos;móatianronki pápabaon tapán bocátikanai ikítoain;móatianronoki pápabaon tapán bocátikanai ikítaoain;móñatianronki pápabaon tapán bocátikanai ikítodain
 Estoy subiendo por la escalera;tapítininra ea mápetai;tapítininra ea mshápetai;tapítininra ea mánetai
 El perro está echado en el emponado;tapónkora ochíti racáke;tapónkchora ochíthi raciáke;fapónkora ochíti racáke
 Como mi pantalón está largo, lo doblaré;nokon chiárexti tapó íketianra en tacátoai;nokoen cheiárexti tapó íkeitianra cen taacátoai;qnokon chiárexti tap híketianra aen tacátoali
 Me fui al *•monte a buscar *pona para hacer mi piso;níi meranra ea katanhíbake tápoanoxon síno bénai;níi hmeranra ea katanhíbake tápoanoxon síno bénai;níi meranra e katanhíbake tápoanocxon sío bélnai
 El tibe pone sus huevos en la playa;takínra báchiakai mashín;takínra báchiakai mashín;tñakínra báchiakai mashín
 El tuquituqui come gusano que se encuentra en medio del piripiral;nepáxtakinra xéna píai jisónanti méranoa;nepáxtakinra xéfna píai jiswónanti méaranoa;nepáxtakinra xona ipíai jsónanti mfranoa
 Capturé un shirúe *tarrafeando;enra ricánkin taránki bíke;enra pricánkin taránki bzíke;ena rwicánkin taránki bíke
 Los hombres hicieron rodar la *lupuna;jónibaonra xóno taránke;jónibaonra xónlo taránke;jóibaonra xóino taránke
 Dicen que si sale la *yacumama, se seca la *cocha;ronín picóketianronki ián táraxai;roonín vpicóketianronki ián táraxai;rontsín picóketianronki ián táraxai
 Papá está talando el árbol;papánra jíwi táretai;paopánra jíwi tárdetai;papánra jídwi tretai
" Se cuenta que hace varios años un hombre fue a visitar a su enamorada por la noche; y, sin que se diera cuenta, un *guacamayo subió dentro de su cushma";móatianronki jóni xóxoti cáketian oínyamaketian jawen tarí meran xawan néeta iki;móatianronki jónli nxóxoti cákfetian oínpyamaketian jawekn tarí meran xawan néheta iki;móatianronki jxni xóxoti cáketiatn oínyamaketian jawen tarí meran exawan néeta aki
 El profesor castigó a los alumnos porque no hicieron sus tareas;taría áyamaketianra maístoron bákebo kastíkanke;tvaría áyamaketiangra madístoron bákebo kastíikanke;taría áyamaketianra maísoron bákebo kastíkanke
 Regreso de la chacra con el cuerpo sucio, y por eso me baño;wáinko cátanax nokon yóra táro iki jakopira ea náshiai;wáixnko cátanax nokaon oyóra tcháro tsiki jakopira ega náshiai;wáinko cátanax nokn yóra vtáro qiki jakohpira a násiai
 En el talonario de su patrón hay rayas paralelas;jawen pátoronin táronario meranra serébo jáke;jawen pátoronin táronario meranara serézbo jqáke;jawen pátoronin táronamio meranra sevrébo jáke
 El puso los camotes en la canasta y los trajo;tásakan napónxonra cári béke;tásakan napónxonra cárui békoe;tásakon napónxonra cáshi béke
 Este muchacho agujereó el tazón de su madre con un clavo;nato bakénra jawen titán tasón áraake rabón pékaxon;natqo bakéznra jawen titán tasón árvaake rvabón ppékaxon;nato bakénra jawe ttán tasó áraake raón pékaxon
 Al pisar donde la tierra estaba agrietada, el hombre se luxó el pie;mái chacá ikain jámataxa jóni taskéke;muái chafcá ikain jámoataxa jóni taskshéke;mái chacá ikain jáataxa jóni taskéoe
" Los niños jugaban con el barro y se golpeaban; entonces su papá al verlos les riñó";bákebora tsíniai máno táshaa iki jaínxonra jawen papán oínxon notsínke;bákebora tsíniai imáno táshaa iki jaínxonra jawen papáin oñínxon notsdínke;báebora tsíniai mán tásha iki jaínxonla jawen papán oínxodn notsínke
 Cuentan que nuestros antepasados iban río abajo a traer sal;non yósipapaboronki bópaonike cwpónki táshi bíi;non yósiopapaboronki bópaonike cwpónki táshi bíi;enon yósipapaboronkdi bópaonike cwpónvi táishi abíi
 Una garza está sentada en el palo seco que está echado en la playa;táxa mashín rákatatonra manxán yacáke;táxa omashín rákashtatonra manixán yacáke;táx mashín rákatatonra manxáa ycáke
 Dice mi tío que en la tahuampa están *mareándose las *gamitanas, los *súngaros, los *turushuques y las *cahuaras;kocánra yóike táxbakan yápa páenai amákiri mócho bawín píro;kocánra yóilke táaxbakan yáopa páenai amjákiri mócho bawqín píro;ckocánra ytsike táxbakan yátpa pqenai amágkiri mocho bawích píro
 El ave taxcánhuapa pone sus huevos en las cuevas de los cerros;taxcánwapan báchiakai manánkini meran;taxcnánwapan báchiakai manáunkini meran;taxcánwapan báchiakai manánkini merrn
 Yo estoy estirando mi pie para que mi abuelo me lo sobe;enra táxkonai nokon pápashoko tobíamai;enra táxkonai nokotn pápashoko etobíamai;enra táxkoai noon pápashokeo tobísamai
 Los alumnos han de pegar un papel sobre otro;bákebaonra wétsa kírika kírakaki taxnánti iki;bákebaonra awétsa kírika kírakqaki taxnánti iki;bákebaonra cétsa kírika kírakak taxnqánti ii
 El regatón atracó para hacer sus negocios;ríkatonra taxnáke jato máromai;ríkatonra taxnáke jatwo máromai;ríkatonra taxnáke jato máromai
 Rompí el mango de mi hacha;nokon yámi táxora en sékeke;nokon yágmi táxora en sédkeke;nokon yámi táxora gn sékeke
 La perra lame a su cría;ochítininra jawen báke táxoai;ochítlininra jawaen bmáke táxoai;ochítininra jawen báke táxoa
 Yo muevo mi canoa para que maria rápido;nokon nóntira en táxkeai síwanoxon;anokon nóntira en teáxkeai síwanoxon;nokon nóntira ex táxkeai síwanoxon
 El vidrio me cortó el pie;bidirionra ea taxtéke;bidirionra ea tgaxtéke;bidirionre ea taxtéke
 Moví mi pie involuntariamente;eara táteke ike;easra táteke ike;eara áteke ike
 Estoy labrando con azuela mi canoa;nóntira en táteai;nóntira en táteai;nóntra yen tátiai
 Yo estoy comprando una azuela al regatón;tátetira ea mároai ríkatonimea;tátetzira ea mároai gríkatonimea;tátutira ea ároai ríatonimea
 Mamá está ensartando las chaquiras;títanra móro tátinai;títanra móro tátinai;tjítanra móreo tátibnai
 Papá hizo los horcones delgados al labrarlos, a pesar de que él le mandó a hacerlos gruesos;jan rastón áti yóiabira witá tayánkin papán wiríshake;jatsn rastón áti yóiabiraa witá tayánkion opapán wiríshake;oan rastn áti óiabira wity tayánkin papán wiríshakfe
 cortar por el cuello;téxteti;téxteti;téxteti
 El niño fastidiaba a su hermanita queriendo pegarle;bakénra jawen pói téake ríshkikaskin;bakénra jaqwen pói téiake ríshkikaskin;bakénra jawemn pi téake ríshkikskin
 La *isula es venenosa;bóna riki tékamis;bóna riki tékamtsis;bóna riki tétskamis
 Un alacrán picó al niño;nibónra báke tékake;nibótsnra bjáke tékakme;nibónra bákw tékake
 El hombre se sentó en el árbol con ramas bifurcadas;jíwi téchapaninra jóni yacáke;jíwi téchapaninra jóni yacáke;jíwi téchapaninra jóni yacke
 Dicen que los hombres están trabajando cerca de la carretera haciendo la chacra del patrón;jóniboronki téetai cáritiranko pátoron wáiaxoni;ijóniboronki téetai cáritiranko pátoron wáiaxoni;jóniboronki téetai cáritirnko pátoron wáiaxoni
 Por fin vino después de haber trabajado el caucho por mucho tiempo;moátian cáochonin téeti kax ítira moa jóke;moyátian cáocihonin teéeti kax lítira imoa jóke;moátian tcáochonin éeti kawx iítira mgoa jóke
 Cuando el viento casi derribó la casa que estába inclinada, la sujetamos con un horcón;xobo niwén póxakeana tánxatara wítakan non téwamake;xobo uniwén póxakeana itánxatara wítakñan onon otéwamake;lobo niwén póxakeana táenxatara wítakan pon téwamake
 Mientras yo sacaba los huevos del pajarito téipa, una avispa me picó;téipa báchi bíaintianra ea binán tékake;téizpa bárchi bíaintiaonra ea boinán tékakqe;téia áchi bíainrianra ea binán tékake
